MOTIF V_NFKB_C NF-kappaB
MOTIF V_NFY_C NF-Y
MOTIF V_OCT_C OCT-x
MOTIF V_SRF_C SRF
MOTIF V_TATA_C TATA
MOTIF V_USF_C USF
MOTIF V_SREBP1_01 SREBP-1
MOTIF V_SREBP1_02 SREBP-1
MOTIF V_HAND1E47_01 Hand1:E47
MOTIF V_STAT_01 STAT
MOTIF V_STAT1_01 STAT1
MOTIF V_STAT3_01 STAT3
MOTIF V_VBP_01 VBP
MOTIF V_MEF2_02 MEF-2A
MOTIF V_MEF2_03 MEF-2A
MOTIF V_MEF2_04 MEF-2A
MOTIF V_AHRARNT_01 AhR:Arnt
MOTIF V_ARNT_01 Arnt
MOTIF V_AHRARNT_02 AhR:Arnt
MOTIF V_NKX25_01 Nkx2-5
MOTIF V_NKX25_02 CSX
MOTIF V_PPARA_01 PPARalpha:RXRalpha
MOTIF V_EGR1_01 Egr-1
MOTIF V_NGFIC_01 NGFI-C
MOTIF V_EGR3_01 Egr-3
MOTIF V_EGR2_01 Egr-2
MOTIF V_OCT1_07 Oct-1
MOTIF V_CHOP_01 CHOP:C/EBPalpha
MOTIF V_GFI1_01 Gfi-1
MOTIF V_XBP1_01 XBP-1
MOTIF V_TATA_01 TATA
MOTIF V_NRSF_01 NRSF
MOTIF V_RREB1_01 RREB-1
MOTIF V_ISRE_01 ISGF-3
MOTIF V_HLF_01 HLF
MOTIF V_OLF1_01 Olf-1
MOTIF V_STAF_01 Staf
MOTIF V_STAF_02 Staf
MOTIF V_AML1_01 AML1a
MOTIF V_P53_02 p53
MOTIF V_MIF1_01 MIF-1
MOTIF V_RFX1_01 RFX1
MOTIF V_RFX1_02 RFX1
MOTIF V_TCF11MAFG_01 TCF11:MafG
MOTIF V_TCF11_01 TCF11
MOTIF V_NFY_01 NF-Y
MOTIF V_HFH3_01 HFH3_(FOXI1)
MOTIF V_FREAC2_01 Freac-2
MOTIF V_FREAC3_01 Freac-3
MOTIF V_FREAC4_01 Freac-4
MOTIF V_FREAC7_01 Freac-7
MOTIF V_HFH8_01 HFH8_(FOXF1A)
MOTIF V_NFAT_Q6 NFAT
MOTIF V_MYCMAX_B c-Myc:Max
MOTIF V_NRSE_B NRSE
MOTIF V_PAX1_B Pax-1
MOTIF V_PAX3_B Pax-3
MOTIF V_PAX8_B Pax-8
MOTIF V_WHN_B Whn
MOTIF V_ZF5_B ZF5
MOTIF V_ATF_B ATF
MOTIF V_ETS1_B c-Ets-1
MOTIF V_ETS_B c-Ets
MOTIF V_GABP_B GABP
MOTIF V_OCT1_B Oct-1
MOTIF V_GATA1_05 GATA-1
MOTIF V_GATA1_06 GATA-1
MOTIF V_GATA2_02 GATA-2
MOTIF V_GATA2_03 GATA-2
MOTIF V_GATA3_02 GATA-3
MOTIF V_GATA3_03 GATA-3
MOTIF V_PAX3_01 Pax-3
MOTIF V_PAX4_01 Pax-4
MOTIF V_PAX4_02 Pax-4
MOTIF V_PAX4_03 Pax-4
