RBP7
PADI2
PADI4
CDA
RHD
SFN
FGR
CLSPN
CSF3R
SLC2A1
TAL1
TACSTD2
LEPR
CLCA2
GFI1
ABCA4
TMEM56
COL11A1
CASQ2
FAM46C
MLLT11
S100A9
S100A12
S100A8
S100A2
BGLAP
SPTA1
MNDA
ATP1A2
FCGR3B
RGS5
SELL
ASPM
CHI3L1
CTSE
LOC642587
G0S2
ESRRG
MOSC1
ACTA1
ACTN2
TRIM58
MBOAT2
RRM2
VIT
NRXN1
ADD2
NEB
GCA
SLC38A11
KBTBD10
TTN
FRZB
ADAM23
MYL1
UGT1A8
UGT1A10
UGT1A9
UGT1A7
UGT1A6
UGT1A5
UGT1A4
UGT1A3
UGT1A1
HJURP
CHL1
LTF
CAMP
WNT5A
DNASE1L3
CSTA
TF
SOX2OT
LOC344887
ADIPOQ
TPRG1
TP63
TFRC
S100P
UCHL1
IGJ
PPBP
CCDC158
ANXA3
SPARCL1
DMP1
MEPE
SNCA
MMRN1
ADH1B
ADH7
DDIT4L
CENPE
NDST4
PRSS12
C4orf31
SLC7A11
GYPE
GYPB
GYPA
NPY1R
LIFR
C7
EMB
GZMK
F2RL2
CMYA5
THBS4
HAPLN1
SLCO4C1
ACSL6
FAT2
BTNL9
IRF4
HIST1H3B
HIST1H2AL
TRIM10
HLA-DRB1
RHAG
CRISP3
BMP5
SLC22A16
COL10A1
TRDN
ARG1
ENPP1
VNN2
MYB
PERP
ABCA13
IKZF1
SEMA3E
HEPACAM2
TAC1
PRKAR2B
NRCAM
PTPRZ1
AKR1B10
AKR1D1
CLEC5A
MGAM
KEL
DEFA4
DEFA3
DEFA1B_dup3
DEFA1_dup3
LPL
EPB49
SLC25A37
NRG1
ANK1
PLAT
OPRK1
CA8
PI15
FABP4
CA1
CTHRC1
FER1L6
IL33
ANKRD18A
DIRAS2
TMOD1
HEMGN
LCN2
GFI1B
FCN1
AKR1C1
AKR1C2
AKR1C3
ITGA8
NEBL
CXCL12
LOC728640
ANK3
SRGN
AGAP11
IFIT1B
NRAP
GFRA1
MKI67
EBF3
INS-IGF2
IGF2
HBB
HBD
PRG3
PRG2
TCN1
MS4A3
SLC29A2
FOLR3
CNTN5
MMP8
MMP1
C11orf92
NCAM1
HMBS
PANX3
LOC100292680
CLEC12A
OLR1
ART4
MGST1
PTHLH
TMTC1
COL2A1
NFE2
WIF1
LYZ
PTPRQ
PPFIA2
EPYC
MYBPC1
MYL2
GJB2
ALOX5AP
OLFM4
PCDH20
PCDH9
SLITRK6
RPPH1
RNASE3
RNASE2
MYH7
CTSG
DLGAP5
SPTB
GPX2
EPB42
FGF7
WDR72
CA12
PLIN1
HBM
HBA2
HBA1
AHSP
CES1
GPR97
NQO1
HP
MYH1
MYH2
TRIM16L
ALDH3A1
SLFN14
CCL14
CCL14-CCL15
KRT17
SOST
SLC4A1
MYL4
CHAD
EPX
MPO
ABCA8
ABCA6
ABCA10
KCNJ16
LAMA1
CABYR
DSC3
DSG3
DSG2
SLC14A1
SERPINB5
SERPINB10
AZU1
PRTN3
ELANE
C19orf59
PRAM1
KLF1
CYP4F3
CYP4F11
ANKLE1
CLC
CEACAM6
CEACAM1
CEACAM8
CD177
CKM
FOSB
PGLYRP1
NKG7
VSTM1
FCAR
TNNT1
SRXN1
SIRPB1
CST7
BPI
TNNC2
TUBB1
DSCR8
DGCR5
IGLL5
MMP11
MB
XK
TSPAN7
MAOA
ALAS2
TSIX
XIST
CHRDL1
SH2D1A
APLN
GABRE
RPS4Y1
DDX3Y
UTY
KDM5D
EIF1AY
