CFTR
SLC7A2
PON1
ABCB4
ITGA3
TMEM132A
USH1C
FMO3
MASP2
MLXIPL
MARCO
SYT13
CPS1
C8B
ABCC2
HSD17B6
OTC
C6
CP
ITIH4
ITIH1
F7
LAMC2
CREB3L3
ACSM2B
SPP2
ABCB11
CD5L
AFM
SCTR
CPB2
CFHR2
SLC27A5
HAL
CEACAM6
F11
FETUB
CHRD
TF
APOH
CDHR5
SERPIND1
CECR2
UPB1
SLC10A1
PCK2
CHRNA4
EEF1A2
HAO1
F9
AQP9
ESRP1
FGL1
CLEC4M
SULT2A1
COMP
HAMP
TFR2
AMBP
COL1A1
UGT2B10
HGFAC
HPX
APOA5
APOC3
SLC1A2
DAO
SLC6A12
SLCO1B3
GYS2
CDH6
AGXT2
C9
EHHADH
KNG1
HRG
BCHE
AADAC
PROC
PRG4
CTH
CFHR3
HAO2
HSD11B1
SERPINC1
APOA1
TTR
ARG1
SPP1
ALDH6A1
EPCAM
ADRA1A
A1BG
PLG
AKR1D1
BICC1
ITIH5
SARDH
C4BPA
C4BPB
PMEPA1
PCK1
GNMT
MT1G
MT2A
PLGLB2
PROZ
PZP
SHBG
CDO1
LBP
APOE
APOC1
GADD45G
CYP2E1
ASS1
F12
G6PC
ITGB4
DMGDH
BHMT2
ANGPTL3
CHI3L1
HMGCS2
SAA2
CFHR4
CFHR5
SLCO1B1
PSAT1
SDS
PPP1R1A
KRT7
IL1RN
ALDOB
SLC22A7
TTPA
KHK
ABCG5
CYP2C9
CYP2C8
RBP4
OIT3
AOX1
MTTP
SLC38A4
RDH16
SERPINA10
SLC25A47
CYP1A2
ABCA8
SLC13A5
ASGR1
PLPP2
SLC47A1
FCN3
NR1I3
F13B
ABCG8
NR1I2
ALDH1L1
AHSG
GC
UGT3A1
BHMT
CRHBP
LECT2
DCDC2
DPYS
SAA4
GLYAT
CNDP1
MAT1A
THRSP
ACSL1
TDO2
UGT2B4
ATP2B2
C8A
SLC34A2
HPD
PFKFB1
APOA2
UROC1
FTCD
FCN2
AZGP1
CYP3A4
PGLYRP2
BDH1
ITIH3
CYP4A22
PDZK1IP1
AKR7A3
INAVA
SLC2A2
FABP1
ALB
DNASE1L3
SLC51A
ETNPPL
HPGD
KLKB1
FBP1
MBL2
PRAP1
CYP2C19
SPINT1
AVPR1A
ASPG
MOGAT2
GLYATL1
SPINT2
SERPINF2
KRT80
C3P1
ACOX2
MFSD2A
HFE2
MT1E
DCXR
HSD17B13
UGT2B7
KRT19
FGG
FGA
FGB
TTC36
AGXT
ACOT12
ADH6
SAA1
SLC22A1
INHBC
APOF
CPN2
PIPOX
F2
CYP8B1
GREM2
CLEC4G
SLC25A18
ABAT
ACSM5
ACSM2A
SLC22A10
CYP4F2
INSIG1
CYP4F3
SERPINA11
CYP4A11
MT1X
ADH1A
PLA2G2A
SLC38A3
CLDN4
SLC22A25
ADH1B
CYP2B6
S100A6
CYP2A7
ADH4
AKR1C4
TAT
LPA
CES1
ASPDH
MT1H
C2
DIO1
GBP7
ANG
APOC1P1
GCGR
C4B
APOC4-APOC2
C2
ORM2
ORM1
C2
MTND4P20
APOC2
C2
C2
UGT1A1
AC006254.1
GSTA1
GSTA2
CFHR1
UGT1A4
C4A
ADH1C
PRODH2
SAA2-SAA4
CYP2A6
CYP2B7P
HP
HPR
CES1
TDO2
FXYD1
APOC4
CD24
CDHR5
CCL16
UGT2B10
CYP2D6
BDH1
BX248415.1
SRD5A2
SERPINA10
