CFH
TFPI
CSDE1
CPS1
CP
VMP1
ACSL4
ENO1
ACTB
XRCC5
HSP90AA1
AFP
APLP2
APOB
FTL
LYZ
TF
APOH
HSP90AB1
DSP
SCD
DDX17
MYH9
FGL1
MET
C5
AMBP
CPD
DDX5
VTN
HSPA8
EIF4G2
ATP5B
GAPDH
SOD2
HSPA9
KNG1
NCL
SPTBN1
FN1
STAT1
SF3B1
HDLBP
DHCR24
SPP1
CLU
COPA
HNRNPA2B1
AHNAK
C3
RRBP1
CANX
APOE
CRP
TPT1
IL6ST
AGT
GLUL
FLNB
ALDOB
RPS6
RPS24
IDH1
TMBIM6
CLTC
RPL11
MCL1
CERS2
HSPD1
LPP
AHSG
GC
RPL37
GPC3
ITGB1
UBC
ITIH2
DST
UHMK1
UTRN
HNRNPU
RPL30
EEF1A1
EIF4A2
APOA2
ADAR
SQSTM1
ATP1A1
CCT3
ALB
COL1A2
CTSB
YWHAZ
ALDH1A1
HSP90B1
B2M
IGF2
EEF2
CTNNB1
COL3A1
HNRNPH1
FASN
FGG
FGA
FGB
RNF213
RPL4
A2M
CALR
C1S
ACTG1
P4HB
COL4A1
TUBB
ADH1B
FLNA
DYNC1H1
SERPINA1
PSAP
RPL37A
AKR1B10
ASPH
TXNRD1
CAPZA2
RACK1
PRKDC
HP
