ACTB
ACTG1
ACTG2
AHNAK
ALDOB
ANPEP
APOA4
APOB
B2M
CA1
CA2
CD74
CEACAM5
CEACAM7
CKB
CLCA1
CLDN4
CNN1
COL1A1
COL1A2
COL3A1
CSRP1
DDX17
DEFA5
DES
DMBT1
DSP
DST
DYNC1H1
EEF1A1
EEF1G
EEF2
ENO1
XIST
ENSG00000231486
NEAT1
MALAT1
ENSG00000258486
AL355075.4
SNORD3A
RMRP
AL356488.2
TSIX
FAT1
FCGBP
FLNA
FLNB
FN1
FTH1
FTL
GAPDH
GSN
HIST1H1C
HIST1H1E
HSP90AA1
HSP90AB1
HSPA8
IGJ
IGLL5
IL8
ITM2C
KRT18
KRT19
KRT20
KRT8
LGALS4
LPP
MALAT1
MUC12
MUC2
MYH11
MYH9
MYL9
MYLK
OLFM4
PIGR
PLEC
PPP1R12B
REG1A
RMRP
RNA45S5
RPL10
RPL13
RPL13A
RPL41
RPPH1
SCARNA2
SI
SLC26A2
SLC26A3
SPTBN1
SYNM
SYNPO2
TAGLN
TFRC
TMSB4X
TNS1
TPM1
TPT1
TSIX
TXNIP
UBC
XIST
YWHAZ
