ENSG00000074800
ENSG00000142676
ENSG00000116133
ENSG00000009307
ENSG00000163399
ENSG00000143384
ENSG00000143418
ENSG00000160710
ENSG00000163468
ENSG00000132693
ENSG00000122218
ENSG00000158874
ENSG00000152332
ENSG00000135821
ENSG00000000971
ENSG00000135744
ENSG00000153187
ENSG00000084674
ENSG00000115306
ENSG00000003436
ENSG00000168542
ENSG00000115415
ENSG00000115524
ENSG00000144381
ENSG00000138413
ENSG00000021826
ENSG00000115414
ENSG00000079246
ENSG00000197756
ENSG00000115053
ENSG00000115677
ENSG00000168036
ENSG00000136068
ENSG00000091513
ENSG00000047457
ENSG00000145192
ENSG00000113889
ENSG00000156976
ENSG00000145012
ENSG00000145321
ENSG00000163631
ENSG00000081051
ENSG00000118785
ENSG00000196616
ENSG00000171564
ENSG00000171560
ENSG00000171557
ENSG00000145592
ENSG00000134352
ENSG00000113013
ENSG00000169045
ENSG00000127022
ENSG00000161011
ENSG00000204628
ENSG00000096696
ENSG00000196230
ENSG00000096384
ENSG00000151914
ENSG00000156508
ENSG00000152818
ENSG00000112096
ENSG00000075624
ENSG00000122566
ENSG00000164692
ENSG00000105976
ENSG00000198898
ENSG00000198074
ENSG00000068366
ENSG00000147257
ENSG00000196924
ENSG00000164733
ENSG00000104760
ENSG00000120885
ENSG00000253729
ENSG00000198363
ENSG00000156482
ENSG00000164924
ENSG00000137154
ENSG00000165092
ENSG00000136872
ENSG00000106927
ENSG00000106804
ENSG00000151655
ENSG00000150093
ENSG00000197746
ENSG00000138326
ENSG00000099194
ENSG00000167244
ENSG00000110321
ENSG00000124942
ENSG00000109971
ENSG00000084234
ENSG00000111640
ENSG00000182326
ENSG00000175899
ENSG00000139644
ENSG00000110955
ENSG00000090382
ENSG00000166598
ENSG00000198431
ENSG00000150991
ENSG00000133112
ENSG00000187498
ENSG00000197249
ENSG00000197102
ENSG00000080824
ENSG00000166710
ENSG00000174444
ENSG00000257017
ENSG00000109072
ENSG00000108582
ENSG00000141367
ENSG00000062716
ENSG00000108654
ENSG00000091583
ENSG00000173821
ENSG00000184009
ENSG00000185624
ENSG00000169710
ENSG00000125844
ENSG00000167658
ENSG00000125730
ENSG00000179218
ENSG00000130203
ENSG00000087086
ENSG00000100345
ENSG00000100201
